"Timestamp","What is your tag","What is your twitter handle","Which character do you main?","What is your self assessment of your skill","Your character vs Fox on Final Destination","Your character vs Fox on Battlefield","Your character vs Fox on Dreamland","Your character vs Fox on Fountain of Dreams","Your character vs Fox on Yoshi's Story ","Your character vs Fox on Pokemon Stadium","Your character vs Falco on Final Destination","Your character vs Falco on Battlefield","Your character vs Falco on Dreamland","Your character vs Falco on Fountain of Dreams","Your character vs Falco on Yoshi's Story","Your character vs Falco on Pokemon Stadium","Your character vs Puff on Final Destination","Your character vs Puff on Battlefield","Your character vs Puff on Dreamland","Your character vs Puff on Fountain of Dreams","Your character vs Puff on Yoshi's Story","Your character vs Puff on Pokemon Stadium","Your character vs Marth on Final Destination","Your character vs Marth on Battlefield","Your character vs Marth on Dreamland","Your character vs Marth on Fountain of Dreams","Your character vs Marth on Yoshi's Story","Your character vs Marth on Pokemon Stadium","Your character vs Sheik on Final Destination","Your character vs Sheik on Battlefield","Your character vs Sheik on Dreamland","Your character vs Sheik on Fountain of Dreams","Your character vs Sheik on Yoshi's Story","Your character vs Sheik on Pokemon Stadium","Your character vs Falcon on Final Destination","Your character vs Falcon on Battlefield","Your character vs Falcon on Dreamland","Your character vs Falcon on Fountain of Dreams","Your character vs Falcon on Yoshi's Story","Your character vs Falcon on Pokemon Stadium","Your character vs Peach on Final Destination","Your character vs Peach on Battlefield","Your character vs Peach on Dreamland","Your character vs Peach on Fountain of Dreams","Your character vs Peach on Yoshi's Story ","Your character vs Peach on Pokemon Stadium"
"2021/04/18 1:50:34 PM AST","Ember","IncelFactory","Sheik","Tournament Regular","40-60","50-50","50-50","45-55","45-55","40-60","45-55","55-45","55-45","50-50","45-55","45-55","40-60","55-45","55-45","45-55","50-50","45-55","45-55","55-45","55-45","50-50","50-50","50-50","Better than 70-30 (winning)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","50-50","55-45","55-45","55-45","55-45","50-50","50-50","60-40","55-45","50-50","55-45","55-45"
"2021/04/18 1:56:32 PM AST","Jack Fox","@jackfox80","Falcon","Beginner","30-70","45-55","55-45","40-60","45-55","55-45","30-70","45-55","50-50","30-70","55-45","40-60","60-40","55-45","50-50","45-55","60-40","50-50","45-55","50-50","55-45","45-55","50-50","55-45","40-60","45-55","50-50","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","55-45","55-45","70-30","60-40"
"2021/04/18 1:56:43 PM AST","Equi","","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","45-55","45-55","55-45","50-50","55-45","50-50","60-40","55-45","45-55","55-45","55-45","60-40","40-60","45-55","45-55","45-55","50-50","45-55","60-40","55-45","55-45","55-45","55-45","60-40","60-40","55-45","55-45","55-45","55-45","55-45","55-45","60-40","60-40","55-45","60-40","60-40"
"2021/04/18 2:03:23 PM AST","taz3141","@taz3141","Peach","Average Skill","55-45","45-55","45-55","45-55","40-60","40-60","50-50","45-55","50-50","50-50","40-60","45-55","40-60","40-60","30-70","40-60","40-60","40-60","40-60","45-55","50-50","45-55","45-55","45-55","40-60","45-55","50-50","45-55","45-55","45-55","60-40","45-55","45-55","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 2:09:51 PM AST","Mave","@mave4898","Marth","Strong Regional-Level Player","60-40","55-45","50-50","55-45","50-50","55-45","55-45","50-50","50-50","50-50","45-55","50-50","55-45","50-50","45-55","50-50","55-45","55-45","","","","","","","55-45","50-50","45-55","50-50","55-45","50-50","55-45","50-50","45-55","55-45","50-50","50-50","55-45","50-50","45-55","50-50","50-50","50-50"
"2021/04/18 2:10:18 PM AST","SpecialK","","Falco","Tournament Regular","55-45","55-45","55-45","55-45","50-50","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","45-55","60-40","55-45","45-55","55-45","55-45","50-50","45-55","45-55","60-40","55-45","55-45","55-45","60-40","60-40","70-30","60-40","60-40","60-40","70-30","60-40","45-55","55-45","45-55","45-55","60-40","55-45"
"2021/04/18 2:12:36 PM AST","Savestate","@Savestate","Link","Tournament Regular","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","40-60","30-70","Worse than 30-70 (losing)","30-70","40-60","40-60","40-60","30-70","30-70","30-70","30-70","40-60","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","40-60","40-60","40-60","40-60","45-55","45-55"
"2021/04/18 2:12:58 PM AST","Wills","whatyameanwills","Peach","Tournament Regular","55-45","45-55","50-50","50-50","55-45","40-60","55-45","45-55","55-45","50-50","50-50","55-45","40-60","45-55","50-50","45-55","50-50","50-50","45-55","50-50","55-45","50-50","55-45","50-50","45-55","45-55","50-50","45-55","45-55","50-50","55-45","45-55","50-50","50-50","55-45","45-55","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 2:16:30 PM AST","Guru","@GuruSSBM","Falcon","Strong Regional-Level Player","40-60","45-55","45-55","45-55","45-55","45-55","40-60","45-55","45-55","40-60","45-55","45-55","45-55","50-50","45-55","45-55","50-50","45-55","45-55","45-55","50-50","45-55","45-55","50-50","50-50","50-50","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","50-50","45-55","55-45","55-45"
"2021/04/18 2:18:36 PM AST","Chad McBrad","@fukfalco","Falcon","Tournament Regular","40-60","45-55","45-55","40-60","45-55","45-55","40-60","45-55","45-55","40-60","45-55","45-55","50-50","50-50","40-60","50-50","50-50","50-50","45-55","50-50","50-50","45-55","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","Better than 70-30 (winning)","Better than 70-30 (winning)","Better than 70-30 (winning)","Better than 70-30 (winning)","Better than 70-30 (winning)","Better than 70-30 (winning)","55-45","55-45","45-55","45-55","50-50","55-45"
"2021/04/18 2:18:38 PM AST","DPIII ","Dp3theshow","Doc","Average Skill","55-45","30-70","30-70","50-50","40-60","45-55","45-55","Worse than 30-70 (losing)","30-70","45-55","40-60","45-55","60-40","50-50","40-60","45-55","60-40","50-50","50-50","45-55","55-45","50-50","40-60","45-55","55-45","Worse than 30-70 (losing)","40-60","45-55","45-55","50-50","60-40","40-60","40-60","50-50","45-55","45-55","50-50","50-50","40-60","50-50","55-45","55-45"
"2021/04/18 2:19:48 PM AST","JSP","Jsterlingp3","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","50-50","45-55","55-45","50-50","60-40","55-45","50-50","55-45","60-40","60-40","30-70","40-60","45-55","45-55","50-50","45-55","60-40","50-50","55-45","50-50","60-40","60-40","60-40","50-50","50-50","60-40","60-40","50-50","55-45","60-40","55-45","55-45","60-40","60-40"
"2021/04/18 2:26:51 PM AST","Splendid","DadRockEnjoyer","Sheik","Tournament Regular","40-60","50-50","45-55","50-50","45-55","40-60","40-60","50-50","50-50","50-50","40-60","40-60","40-60","55-45","45-55","50-50","60-40","55-45","40-60","55-45","60-40","55-45","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","55-45","60-40","55-45","45-55","60-40","60-40","60-40","55-45","60-40","55-45"
"2021/04/18 2:32:30 PM AST","3HUNA","@jofishhuelskamp","Falcon","Tournament Regular","40-60","50-50","50-50","45-55","45-55","45-55","","50-50","50-50","45-55","45-55","45-55","50-50","50-50","45-55","45-55","55-45","60-40","60-40","50-50","60-40","40-60","40-60","30-70","60-40","50-50","50-50","40-60","45-55","60-40","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","45-55","55-45","60-40"
"2021/04/18 2:36:01 PM AST","Wilbur","","Falcon","Tournament Regular","40-60","45-55","45-55","40-60","45-55","45-55","30-70","40-60","45-55","Worse than 30-70 (losing)","45-55","40-60","60-40","55-45","50-50","45-55","55-45","60-40","50-50","50-50","55-45","50-50","50-50","50-50","55-45","45-55","45-55","45-55","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","60-40","55-45","60-40","60-40"
"2021/04/18 2:36:03 PM AST","BuyMyMixTape","BuyMyMixTapESSB","Falco","Strong Regional-Level Player","55-45","50-50","55-45","45-55","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","40-60","45-55","55-45","50-50","50-50","50-50","55-45","45-55","50-50","50-50","60-40","55-45","55-45","50-50","55-45","60-40","60-40","55-45","55-45","60-40","55-45","55-45","45-55","50-50","45-55","50-50","55-45","50-50"
"2021/04/18 2:44:56 PM AST","Heraclitus","@SJorts","ICs but im learning puff","Average Skill","40-60","45-55","50-50","50-50","45-55","45-55","50-50","55-45","55-45","50-50","55-45","50-50","40-60","50-50","40-60","50-50","55-45","50-50","40-60","50-50","55-45","50-50","55-45","45-55","55-45","50-50","60-40","45-55","60-40","55-45","40-60","45-55","50-50","45-55","50-50","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","45-55","Worse than 30-70 (losing)"
"2021/04/18 2:45:27 PM AST","aujory","@aujorySheik","Sheik","Average Skill","45-55","55-45","50-50","45-55","55-45","55-45","60-40","55-45","50-50","50-50","55-45","45-55","55-45","40-60","40-60","45-55","50-50","50-50","55-45","55-45","50-50","55-45","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","55-45","55-45","60-40","50-50","50-50","55-45","55-45","50-50","55-45","50-50","50-50"
"2021/04/18 2:49:43 PM AST","Electroman","@Electroman_DrAl","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","55-45","50-50","45-55","Better than 70-30 (winning)","60-40","55-45","60-40","60-40","70-30","Worse than 30-70 (losing)","50-50","55-45","55-45","55-45","50-50","60-40","55-45","55-45","50-50","60-40","60-40","60-40","55-45","55-45","60-40","60-40","55-45","55-45","60-40","60-40","55-45","55-45","60-40"
"2021/04/18 2:53:12 PM AST","bardon","ssbmbardon","samus","Tournament Regular","40-60","40-60","40-60","45-55","40-60","30-70","40-60","40-60","45-55","45-55","30-70","45-55","30-70","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","40-60","30-70","40-60","40-60","30-70","40-60","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","45-55","40-60","40-60","30-70","30-70","40-60"
"2021/04/18 3:05:31 PM AST","Tezlik","@tezl1k","Marth","Tournament Regular","55-45","50-50","45-55","50-50","50-50","55-45","55-45","50-50","55-45","55-45","45-55","55-45","60-40","55-45","45-55","50-50","60-40","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","45-55","55-45","55-45","45-55","50-50","45-55","55-45","55-45","50-50","60-40","55-45","45-55","45-55","","55-45"
"2021/04/18 3:06:32 PM AST","divine senator kelly","divinesenator","Puff","Tournament Regular","40-60","45-55","55-45","55-45","45-55","40-60","40-60","50-50","60-40","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","30-70","40-60","55-45","45-55","40-60","40-60","70-30","60-40","60-40","60-40","50-50","60-40","60-40","55-45","55-45","60-40","55-45","50-50","70-30","70-30","70-30","70-30","60-40","70-30"
"2021/04/18 3:11:16 PM AST","m0ppu","myluckymop","Falco","Strong Regional-Level Player","50-50","55-45","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","55-45","45-55","50-50","55-45","50-50","50-50","45-55","50-50","45-55","50-50","45-55","55-45","55-45","55-45","55-45","55-45","55-45","60-40","60-40","60-40","60-40","60-40","60-40","55-45","55-45","55-45","55-45","60-40","55-45"
"2021/04/18 3:24:02 PM AST","Rascus","@Josephhjacobsen","Sheik","Strong Regional-Level Player","45-55","50-50","50-50","50-50","45-55","50-50","40-60","50-50","50-50","50-50","40-60","50-50","50-50","55-45","45-55","50-50","60-40","55-45","50-50","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","45-55","50-50","45-55","50-50","50-50","50-50","45-55","45-55","55-45","50-50"
"2021/04/18 3:46:52 PM AST","lamp","","Peach","Strong Regional-Level Player","55-45","45-55","50-50","55-45","45-55","40-60","60-40","45-55","55-45","55-45","40-60","45-55","50-50","45-55","40-60","45-55","50-50","45-55","40-60","45-55","55-45","50-50","40-60","40-60","55-45","45-55","55-45","55-45","45-55","45-55","60-40","45-55","50-50","60-40","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 4:07:40 PM AST","Xad","","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","45-55","45-55","55-45","55-45","55-45","55-45","70-30","55-45","45-55","55-45","55-45","60-40","30-70","40-60","45-55","45-55","50-50","40-60","60-40","50-50","55-45","55-45","55-45","60-40","60-40","55-45","55-45","55-45","60-40","55-45","45-55","55-45","55-45","50-50","60-40","60-40"
"2021/04/18 4:13:15 PM AST","Sembalance ","ResidentLurker_","Sheik","Average Skill","40-60","45-55","50-50","50-50","45-55","45-55","40-60","50-50","55-45","55-45","50-50","45-55","55-45","50-50","40-60","50-50","60-40","60-40","40-60","50-50","50-50","50-50","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","50-50","50-50","50-50","45-55","50-50","55-45","45-55","50-50","60-40","55-45"
"2021/04/18 4:13:42 PM AST","NS frog","Frogfromns","Falcon","Strong Regional-Level Player","30-70","50-50","50-50","45-55","45-55","50-50","30-70","50-50","50-50","50-50","40-60","45-55","50-50","50-50","40-60","45-55","55-45","60-40","30-70","45-55","50-50","45-55","40-60","45-55","55-45","45-55","50-50","45-55","45-55","60-40","50-50","50-50","50-50","50-50","50-50","50-50","40-60","55-45","45-55","45-55","55-45","60-40"
"2021/04/18 4:33:10 PM AST","anakonda","","Marth","Beginner","60-40","55-45","40-60","55-45","50-50","50-50","45-55","50-50","40-60","55-45","60-40","50-50","60-40","55-45","45-55","60-40","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","50-50","55-45","50-50","45-55","55-45","45-55","50-50","45-55","55-45","60-40","55-45","45-55","50-50","60-40","50-50"
"2021/04/18 4:34:09 PM AST","Plant God","@imPlantGod","Sheik","Average Skill","40-60","45-55","45-55","45-55","45-55","40-60","45-55","50-50","55-45","50-50","50-50","45-55","40-60","45-55","40-60","45-55","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","55-45","55-45","50-50","50-50","55-45","60-40","55-45","50-50","55-45","55-45","55-45"
"2021/04/18 5:20:24 PM AST","YamHam","@yamham","Falco","Average Skill","45-55","55-45","45-55","55-45","45-55","50-50","","","","","","","55-45","45-55","40-60","45-55","55-45","55-45","40-60","45-55","55-45","45-55","50-50","45-55","55-45","50-50","50-50","50-50","55-45","55-45","60-40","55-45","50-50","60-40","60-40","55-45","45-55","55-45","45-55","50-50","60-40","55-45"
"2021/04/18 6:02:26 PM AST","Bodunga of the Pooplands","noahallen96","Peach","Strong Regional-Level Player","55-45","50-50","50-50","50-50","45-55","45-55","60-40","50-50","55-45","50-50","45-55","50-50","","","","","","","40-60","45-55","50-50","45-55","45-55","45-55","50-50","50-50","55-45","50-50","50-50","50-50","45-55","45-55","45-55","45-55","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 6:44:06 PM AST","Dimension","DimensionSSB","Marth","Strong Regional-Level Player","60-40","55-45","45-55","55-45","50-50","55-45","60-40","60-40","55-45","60-40","55-45","60-40","55-45","50-50","45-55","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","55-45","45-55","50-50","45-55","55-45","55-45","50-50","60-40","60-40","55-45","60-40","70-30","60-40"
"2021/04/18 7:00:04 PM AST","I.C.G","I.C.G.","Ics","Tournament Regular","40-60","Worse than 30-70 (losing)","30-70","30-70","40-60","40-60","45-55","Worse than 30-70 (losing)","40-60","40-60","50-50","45-55","60-40","Worse than 30-70 (losing)","Worse than 30-70 (losing)","55-45","50-50","60-40","45-55","30-70","30-70","40-60","30-70","45-55","55-45","Worse than 30-70 (losing)","Worse than 30-70 (losing)","55-45","60-40","60-40","40-60","30-70","30-70","55-45","40-60","45-55","40-60","30-70","30-70","30-70","45-55","45-55"
"2021/04/18 7:30:18 PM AST","Seal","SSB_Seal","Sheik","Tournament Regular","30-70","45-55","45-55","45-55","45-55","40-60","40-60","50-50","55-45","50-50","50-50","45-55","40-60","45-55","30-70","40-60","50-50","45-55","45-55","55-45","60-40","55-45","55-45","60-40","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","45-55","55-45","55-45","50-50","70-30","55-45","55-45","55-45","60-40","60-40"
"2021/04/18 7:34:15 PM AST","Fizz (IL)","FizzSSB","Fox","Average Skill","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","45-55","45-55","40-60","40-60","70-30","60-40","55-45","60-40","60-40","70-30","30-70","50-50","45-55","50-50","55-45","40-60","70-30","50-50","60-40","55-45","60-40","70-30","70-30","60-40","50-50","60-40","55-45","55-45","40-60","55-45","45-55","40-60","60-40","60-40"
"2021/04/18 7:44:36 PM AST","Based man","@Wambajambamylre","Falco","Average Skill","55-45","45-55","50-50","60-40","45-55","55-45","70-30","70-30","70-30","70-30","70-30","70-30","30-70","30-70","30-70","30-70","30-70","30-70","60-40","50-50","50-50","55-45","45-55","50-50","30-70","30-70","30-70","30-70","30-70","30-70","45-55","50-50","60-40","60-40","45-55","55-45","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)"
"2021/04/18 8:09:43 PM AST","ASAP_Hari","","Falco","Average Skill","45-55","50-50","50-50","55-45","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","55-45","55-45","55-45","40-60","50-50","50-50","50-50","55-45","50-50","60-40","50-50","50-50","50-50","55-45","55-45","70-30","60-40","60-40","60-40","60-40","55-45","45-55","55-45","50-50","55-45","55-45","60-40"
"2021/04/18 9:21:42 PM AST","Larfen","@BigLarf","Sheik","Strong Regional-Level Player","30-70","55-45","50-50","55-45","50-50","30-70","30-70","55-45","60-40","60-40","50-50","45-55","50-50","55-45","40-60","50-50","60-40","55-45","40-60","55-45","70-30","55-45","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","40-60","55-45","55-45","60-40","55-45","40-60","55-45","60-40","50-50","50-50","60-40","60-40"
"2021/04/18 9:23:48 PM AST","wally","wally_ssbm","Peach","Strong Regional-Level Player","45-55","30-70","40-60","50-50","45-55","40-60","60-40","50-50","55-45","45-55","30-70","45-55","40-60","30-70","30-70","30-70","30-70","40-60","40-60","45-55","50-50","40-60","45-55","40-60","40-60","30-70","40-60","45-55","30-70","40-60","55-45","45-55","50-50","55-45","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 9:26:23 PM AST","MachuChang","Machuchang@gmail.com","Fox","Average Skill","50-50","50-50","50-50","50-50","50-50","50-50","60-40","45-55","50-50","55-45","60-40","50-50","60-40","50-50","45-55","45-55","60-40","60-40","40-60","45-55","50-50","45-55","50-50","50-50","60-40","55-45","55-45","50-50","55-45","60-40","60-40","55-45","55-45","60-40","55-45","60-40","45-55","55-45","45-55","45-55","60-40","60-40"
"2021/04/18 9:34:00 PM AST","cakes","@epitomeofcake","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","50-50","50-50","55-45","55-45","60-40","55-45","50-50","55-45","55-45","60-40","40-60","50-50","55-45","45-55","55-45","55-45","60-40","55-45","55-45","60-40","55-45","60-40","60-40","60-40","55-45","60-40","55-45","60-40","55-45","60-40","55-45","55-45","60-40","60-40"
"2021/04/18 9:34:26 PM AST","Schnurb","@Schnurb1","Fox","Tournament Regular","60-40","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","55-45","50-50","60-40","55-45","55-45","55-45","60-40","60-40","30-70","45-55","50-50","45-55","50-50","40-60","70-30","55-45","60-40","55-45","60-40","60-40","60-40","55-45","55-45","60-40","60-40","60-40","45-55","60-40","55-45","55-45","60-40","60-40"
"2021/04/18 10:46:36 PM AST","Pneun","@Pneun_Ethan","Falco","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","40-60","50-50","60-40","55-45","50-50","45-55","50-50","50-50","50-50","50-50","55-45","45-55","40-60","45-55","50-50","50-50","70-30","60-40","60-40","60-40","55-45","60-40","40-60","50-50","45-55","50-50","55-45","50-50"
"2021/04/18 10:48:25 PM AST","HaxMoneyHulkHogan","@krfunkle","ganon","Tournament Regular","Worse than 30-70 (losing)","30-70","40-60","40-60","45-55","Worse than 30-70 (losing)","30-70","50-50","50-50","45-55","50-50","30-70","30-70","45-55","Worse than 30-70 (losing)","40-60","50-50","50-50","30-70","45-55","50-50","40-60","55-45","45-55","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","40-60","40-60","40-60","45-55","Worse than 30-70 (losing)","40-60","50-50","40-60","45-55","55-45","50-50"
"2021/04/18 10:54:18 PM AST","SheepHair","@SheepHairOG","Falcon","Tournament Regular","45-55","50-50","45-55","45-55","50-50","50-50","40-60","50-50","45-55","45-55","50-50","50-50","50-50","55-45","50-50","45-55","50-50","55-45","45-55","45-55","45-55","45-55","45-55","45-55","45-55","45-55","45-55","45-55","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","50-50","55-45","55-45"
"2021/04/18 10:58:10 PM AST","deft","deftSSBM","Fox","Beginner","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","50-50","55-45","55-45","50-50","70-30","60-40","55-45","55-45","60-40","70-30","30-70","45-55","50-50","45-55","45-55","40-60","60-40","55-45","55-45","50-50","60-40","70-30","60-40","55-45","50-50","55-45","55-45","55-45","50-50","60-40","60-40","45-55","55-45","70-30"
"2021/04/18 11:08:06 PM AST","Rose","Rose_SSBM","Ice Climbers","Average Skill","55-45","40-60","50-50","45-55","40-60","45-55","55-45","30-70","50-50","45-55","45-55","50-50","45-55","40-60","30-70","45-55","50-50","45-55","45-55","40-60","45-55","45-55","40-60","50-50","Better than 70-30 (winning)","45-55","50-50","50-50","55-45","50-50","55-45","40-60","45-55","45-55","50-50","45-55","40-60","Worse than 30-70 (losing)","30-70","40-60","40-60","45-55"
"2021/04/19 12:57:19 AM AST","RTB1400","@RTB1400","Falco","Average Skill","60-40","50-50","45-55","60-40","60-40","45-55","50-50","50-50","50-50","Better than 70-30 (winning)","50-50","50-50","55-45","50-50","45-55","55-45","50-50","60-40","55-45","50-50","55-45","50-50","50-50","55-45","60-40","50-50","50-50","60-40","45-55","55-45","60-40","55-45","60-40","50-50","55-45","55-45","45-55","60-40","45-55","55-45","60-40","55-45"
"2021/04/19 3:24:07 AM AST","scrub!!","@scrubjr","Peach","Tournament Regular","50-50","40-60","50-50","45-55","40-60","40-60","55-45","45-55","50-50","45-55","40-60","45-55","30-70","45-55","40-60","45-55","50-50","50-50","55-45","45-55","50-50","45-55","30-70","45-55","50-50","45-55","50-50","45-55","40-60","45-55","50-50","50-50","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/19 4:49:07 AM AST","Mosh","MoshJarcus","Sheik","Tournament Regular","30-70","50-50","45-55","50-50","45-55","40-60","30-70","50-50","45-55","55-45","50-50","40-60","45-55","55-45","40-60","45-55","55-45","55-45","40-60","55-45","60-40","50-50","45-55","40-60","50-50","50-50","50-50","50-50","50-50","50-50","45-55","60-40","45-55","60-40","50-50","40-60","55-45","60-40","40-60","45-55","50-50","55-45"
"2021/04/19 6:23:27 AM AST","Project","Proj_ct","Marth","Average Skill","70-30","60-40","45-55","60-40","55-45","60-40","60-40","60-40","50-50","60-40","55-45","55-45","60-40","55-45","30-70","55-45","60-40","60-40","50-50","50-50","50-50","50-50","50-50","50-50","60-40","45-55","45-55","50-50","50-50","50-50","60-40","55-45","40-60","55-45","55-45","50-50","60-40","55-45","40-60","55-45","55-45","55-45"
"2021/04/19 7:17:30 AM AST","knacka","KnackKnacka","Falco","Average Skill","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","40-60","50-50","50-50","50-50","45-55","50-50","55-45","45-55","55-45","50-50","60-40","55-45","50-50","55-45","60-40","55-45","60-40","55-45","50-50","60-40","55-45","55-45","50-50","60-40","60-40","50-50","55-45","50-50"
"2021/04/19 7:27:40 AM AST","yo","yo","Falco","Average Skill","40-60","50-50","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","","","50-50","60-40","50-50","55-45","50-50","55-45","50-50","55-45","50-50","50-50","45-55","55-45","50-50","70-30","60-40","60-40","60-40","60-40","60-40","45-55","55-45","45-55","55-45","60-40","55-45"
"2021/04/19 7:59:36 AM AST","Pecker","@Dirtypecker1","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","55-45","55-45","60-40","55-45","60-40","55-45","55-45","55-45","60-40","60-40","40-60","50-50","55-45","50-50","55-45","45-55","60-40","55-45","55-45","55-45","55-45","60-40","55-45","55-45","50-50","55-45","55-45","50-50","45-55","60-40","55-45","55-45","55-45","55-45"
"2021/04/19 8:25:20 AM AST","Hero","@0FramesOfGALINR","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","55-45","50-50","55-45","40-60","60-40","55-45","45-55","55-45","60-40","60-40","40-60","45-55","50-50","45-55","50-50","45-55","60-40","45-55","55-45","45-55","60-40","60-40","60-40","55-45","55-45","60-40","60-40","55-45","55-45","60-40","60-40","55-45","60-40","60-40"
"2021/04/19 9:18:35 AM AST","lugo","@ssbmlugo","Fox","Average Skill","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","55-45","55-45","45-55","55-45","50-50","45-55","50-50","55-45","55-45","40-60","50-50","50-50","50-50","55-45","50-50","55-45","50-50","50-50","50-50","50-50","50-50","55-45","50-50","50-50","55-45","55-45","50-50","45-55","50-50","45-55","50-50","55-45","55-45"
"2021/04/19 10:02:41 AM AST","Kitsuragi","Kitsuragi_","Falcon","Average Skill","60-40","45-55","50-50","40-60","45-55","45-55","50-50","40-60","45-55","40-60","30-70","40-60","50-50","55-45","45-55","50-50","55-45","45-55","50-50","45-55","50-50","40-60","40-60","45-55","30-70","40-60","45-55","30-70","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","40-60","45-55","50-50"
"2021/04/19 11:08:59 AM AST","cadenville","@cadenville","Fox","Strong Regional-Level Player","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","55-45","50-50","55-45","50-50","60-40","60-40","55-45","60-40","60-40","60-40","40-60","50-50","50-50","55-45","55-45","45-55","70-30","60-40","60-40","55-45","60-40","60-40","60-40","55-45","55-45","60-40","60-40","55-45","55-45","60-40","60-40","60-40","60-40","70-30"
